Content,Video title,Video publish time,Duration,Views,Subscribers gained,Comments added
SboZJ27VS-E,Intentaré fingir como que no pasó nada hacer como que sigues aquí abrazándome por la espalda,2025-12-24,52.0,1140,3,1
U-Sb9_N0PNg,"Intentaré fingir como qué no pasó nada, hacer cómo que sigues aquí abrazándome por la espalda",2025-12-19,52.0,1815,2,1
C-NP4vghHZE,Seré un desconocido… #cantautor #musica,2025-12-08,60.0,200,1,1
dXlJSWf22bY,Al conocerte no podía saberLa importancia que ibas a tener en mí,2025-12-27,60.0,146,1,1
vw6U8ETtW5c,Sí me voy pero no creas q es con la única intención de apartarme de ti,2025-12-17,60.0,1369,0,1
IRgVZ6tr8TU,Intentaré fingir como que no pasó nada hacer como que sigues aquí abrazándome por la espalda,2025-12-24,52.0,782,0,1
C-YreVbr0mk,"Intentaré fingir como que no pasó nada, hacer como que sigues aquí abrazándome por la espalda",2025-12-18,52.0,205,0,1
b864lO2Bvrc,Y ahora quiero confesar las ganas q tengo de volverte a abrazar el tocar tu cuerpo volverte a besar,2025-12-31,57.0,197,0,1
Q0qAFl3_YF4,Y ahora quiero confesar las ganas q tengo de volverte a abrazar el tocar tu cuerpo volverte a besar,2025-12-30,57.0,8,0,1
27zn9VSuWek,"Me voy, pero me llevo el recuerdo del día en que te vi por vez primera #musica #cantautor",2025-12-15,60.0,884,3,0
qoeC4pf5ZbQ,Disculpa por arruinar la relación #music #cantautor,2025-12-06,60.0,549,3,0
NgXUWHuGvqA,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,1316,2,0
ZTlmvDxHR3U,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,1096,2,0
6CWElxDzL4M,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,838,2,0
Tv2IspuTnBI,Cómo le digo a mamá que tú ya no estás? Cómo le digo a mamá que no vas a llegar?,2025-12-21,60.0,667,2,0
_9S9KTE2wZc,Tardé en comprender que lo nuestro acabó mantuve hasta el último momento la ilusión,2025-12-19,60.0,310,2,0
iC5YF9_1sLk,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-22,60.0,1427,1,0
qQ18ERDtjO0,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,790,1,0
UAc4TaRrNu0,Sabes en verdad es mentira esa estupidez de que te olvidé #cantautor #musica,2025-12-14,60.0,556,1,0
zz9qvL6r_s0,No puedo creer que ya no te veré #musica #cantautor,2025-12-12,60.0,539,1,0
