Content,Video title,Video publish time,Duration,Views,Subscribers gained,Comments added
SboZJ27VS-E,Intentaré fingir como que no pasó nada hacer como que sigues aquí abrazándome por la espalda,2025-12-24,52.0,1140,3,1
27zn9VSuWek,"Me voy, pero me llevo el recuerdo del día en que te vi por vez primera #musica #cantautor",2025-12-15,60.0,884,3,0
qoeC4pf5ZbQ,Disculpa por arruinar la relación #music #cantautor,2025-12-06,60.0,549,3,0
U-Sb9_N0PNg,"Intentaré fingir como qué no pasó nada, hacer cómo que sigues aquí abrazándome por la espalda",2025-12-19,52.0,1815,2,1
NgXUWHuGvqA,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,1316,2,0
ZTlmvDxHR3U,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,1096,2,0
6CWElxDzL4M,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,838,2,0
Tv2IspuTnBI,Cómo le digo a mamá que tú ya no estás? Cómo le digo a mamá que no vas a llegar?,2025-12-21,60.0,667,2,0
_9S9KTE2wZc,Tardé en comprender que lo nuestro acabó mantuve hasta el último momento la ilusión,2025-12-19,60.0,310,2,0
C-NP4vghHZE,Seré un desconocido… #cantautor #musica,2025-12-08,60.0,200,1,1
dXlJSWf22bY,Al conocerte no podía saberLa importancia que ibas a tener en mí,2025-12-27,60.0,146,1,1
iC5YF9_1sLk,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-22,60.0,1427,1,0
qQ18ERDtjO0,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,790,1,0
UAc4TaRrNu0,Sabes en verdad es mentira esa estupidez de que te olvidé #cantautor #musica,2025-12-14,60.0,556,1,0
zz9qvL6r_s0,No puedo creer que ya no te veré #musica #cantautor,2025-12-12,60.0,539,1,0
hKjiiM6qXHc,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-22,60.0,417,1,0
Z4dHSP5Vj9s,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,401,1,0
vxgV7La3Nj0,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-22,60.0,214,1,0
DUszBoFDICE,Intentaré fingir cómo que no pasó nada hacer cómo que sigues aquí abrazándome por la espalda,2025-12-19,52.0,195,1,0
EVm0G875y2M,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-22,60.0,183,1,0
