Content,Video title,Video publish time,Duration,Views,Subscribers gained,Comments added,subs_per_1000_views
AXC4ikeD9Fw,Para cuando te sientes débil — Mírate | Lovandé,2026-01-27,60.0,100,1,0,10.0
Hh3Au_rbsog,"Pero nos volvimos amigos, íbamos siempre a todo juntos soñando con escapar de este horrible lugar",2025-12-18,60.0,126,1,0,7.936507936507936
mUsWpVveCpI,Sabes en verdad es mentira esa estupidez de que te olvidé,2025-12-31,60.0,129,1,0,7.751937984496124
xOzSSgdBkDo,Cómo le digo a mamá… | Lovandé 🐺🌌🧍,2026-01-28,60.0,137,1,0,7.299270072992701
GYPQpW8m61g,Sabes en verdad es mentira esa estupidez de que te olvidé,2025-12-31,60.0,144,1,0,6.944444444444444
dXlJSWf22bY,Al conocerte no podía saberLa importancia que ibas a tener en mí,2025-12-27,60.0,146,1,1,6.8493150684931505
vhStYw7aeKo,Intentaré fingir como que no pasó nada hacer como que sigues aquí abrazándome por la espalda,2025-12-24,52.0,153,1,0,6.5359477124183005
_9S9KTE2wZc,Tardé en comprender que lo nuestro acabó mantuve hasta el último momento la ilusión,2025-12-19,60.0,310,2,0,6.451612903225806
EhLFSxyqLUY,Pide permiso y baja un ratito del cielo a darme un abrazo #musica #cantautor,2025-12-13,60.0,156,1,0,6.41025641025641
oQwvK0XbcOY,Hoy me desperté luego de un sueño soñé que me besabas nuevamente…,2025-12-22,60.0,177,1,0,5.649717514124294
qoeC4pf5ZbQ,Disculpa por arruinar la relación #music #cantautor,2025-12-06,60.0,549,3,0,5.46448087431694
EVm0G875y2M,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-22,60.0,183,1,0,5.46448087431694
DUszBoFDICE,Intentaré fingir cómo que no pasó nada hacer cómo que sigues aquí abrazándome por la espalda,2025-12-19,52.0,195,1,0,5.128205128205129
C-NP4vghHZE,Seré un desconocido… #cantautor #musica,2025-12-08,60.0,200,1,1,5.0
vxgV7La3Nj0,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-22,60.0,214,1,0,4.672897196261682
27zn9VSuWek,"Me voy, pero me llevo el recuerdo del día en que te vi por vez primera #musica #cantautor",2025-12-15,60.0,884,3,0,3.3936651583710407
Tv2IspuTnBI,Cómo le digo a mamá que tú ya no estás? Cómo le digo a mamá que no vas a llegar?,2025-12-21,60.0,667,2,0,2.998500749625187
SboZJ27VS-E,Intentaré fingir como que no pasó nada hacer como que sigues aquí abrazándome por la espalda,2025-12-24,52.0,1140,3,1,2.631578947368421
Z4dHSP5Vj9s,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-23,60.0,401,1,0,2.493765586034913
hKjiiM6qXHc,"Sí, me voy pero no creas que es con la única intención de apartarme de ti",2025-12-22,60.0,417,1,0,2.398081534772182
